iter	Passed	Remaining
456	820	974
457	821	972
458	822	969
459	824	967
460	825	964
461	826	962
462	827	959
463	828	957
464	829	954
465	832	953
466	833	951
467	834	948
468	835	946
469	836	943
470	837	940
471	838	937
472	839	935
473	840	932
474	840	929
475	841	926
476	842	924
477	843	921
478	844	918
479	846	917
480	847	914
481	848	911
482	849	909
483	850	906
484	851	903
485	852	901
486	853	898
487	853	895
488	854	893
489	855	890
490	856	888
491	857	885
492	858	882
493	859	880
494	861	878
495	862	876
496	863	873
497	864	870
498	864	868
499	865	865
500	866	863
501	867	860
502	868	858
503	869	855
504	870	853
505	871	850
506	873	849
507	876	848
508	877	846
509	878	843
510	879	841
511	880	838
512	881	836
513	882	833
514	882	831
515	883	829
516	884	826
517	888	826
518	889	824
519	891	822
520	892	820
521	892	817
522	893	815
523	894	812
524	895	810
525	896	808
526	897	805
527	898	803
528	899	801
529	900	798
530	901	796
531	902	794
532	904	792
533	906	790
534	907	788
535	908	786
536	909	784
537	910	782
538	912	780
539	913	777
540	914	775
541	915	773
542	916	771
543	917	768
544	918	766
545	920	765
546	921	763
547	922	761
548	923	758
549	924	756
550	925	754
551	926	752
552	927	749
553	928	747
554	929	745
555	930	743
556	931	740
557	932	738
558	933	736
559	935	734
560	935	732
561	936	730
562	937	727
563	938	725
564	939	723
565	940	721
566	941	719
567	942	716
568	943	714
569	944	712
570	945	710
571	946	708
572	947	705
573	948	703
574	950	702
575	951	700
576	952	698
577	953	695
578	954	693
579	955	691
580	956	689
581	957	687
582	957	685
583	958	683
584	959	680
585	960	678
586	961	676
587	962	674
588	964	673
589	965	671
590	966	668
591	967	667
592	968	664
593	969	662
594	970	660
595	971	658
596	972	656
597	973	654
598	974	652
599	975	650
600	976	648
601	977	646
602	978	644
603	979	642
604	980	640
605	981	638
606	982	636
607	983	633
608	984	631
609	985	629
610	986	627
611	986	625
612	987	623
613	988	621
614	989	619
615	990	617
616	991	615
617	993	614
618	994	612
619	995	610
620	996	608
621	997	606
622	998	604
623	999	602
624	1000	600
625	1001	598
626	1002	596
627	1003	594
628	1004	592
629	1005	590
630	1006	588
631	1006	586
632	1009	585
633	1010	583
634	1011	581
635	1012	579
636	1013	577
637	1015	575
638	1015	573
639	1016	571
640	1017	570
641	1018	568
642	1019	566
643	1020	564
644	1021	562
645	1023	560
646	1024	558
647	1025	556
648	1026	554
649	1026	552
650	1027	551
651	1028	549
652	1029	547
653	1030	545
654	1031	543
655	1032	541
656	1033	539
657	1034	537
658	1035	535
659	1036	533
660	1038	532
661	1039	530
662	1040	528
663	1041	526
664	1042	524
665	1042	523
666	1043	521
667	1044	519
668	1045	517
669	1046	515
670	1047	513
671	1048	511
672	1049	510
673	1050	508
674	1052	506
675	1053	504
676	1054	502
677	1055	501
678	1056	499
679	1056	497
680	1057	495
681	1058	493
682	1059	491
683	1060	490
684	1061	488
685	1062	486
686	1063	484
687	1064	482
688	1065	480
689	1067	479
690	1068	477
691	1069	476
692	1070	474
693	1071	472
694	1072	470
695	1073	468
696	1074	466
697	1075	465
698	1075	463
699	1076	461
700	1077	459
701	1078	457
702	1079	456
703	1080	454
704	1082	453
705	1083	451
706	1084	449
707	1085	447
708	1086	445
709	1087	444
710	1088	442
711	1089	440
712	1090	438
713	1091	437
714	1092	435
715	1093	433
716	1094	431
717	1094	430
718	1097	428
719	1098	427
720	1099	425
721	1100	423
722	1101	421
723	1102	420
724	1104	418
725	1105	417
726	1107	415
727	1108	414
728	1109	412
729	1111	411
730	1112	409
731	1113	407
732	1114	406
733	1115	404
734	1116	402
735	1117	400
736	1118	399
737	1119	397
738	1120	395
739	1120	393
